Company,Job_Titles,Location,Skills
SALETANCY CONSULTING PRIVATE LIMITED,Mobile App Development,Delhi,"['Android', 'iOS', 'Flutter', 'Java', 'Kotlin', 'Firebase']"
The Food Truck Travel,Social Media Marketing,Mumbai,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Anveshan,Business Development (Sales),Bangalore,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Print Factory,Graphic Design,Jaipur,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Crazy For Success Foundation,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Tejasvi Vidyaranya,Teacher Training,Hyderabad,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
KSTECH,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
HOOAH,Video Making/Editing,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Antsglobe Technologies,Human Resources (HR),Nagpur,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Euclid LED Labs,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
YantroMitra Learning Technologies,Video Making/Editing,Bangalore,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
PAULSHANTANU ENGINEERING PRIVATE LIMITED,Graphic Design,Mumbai,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Mumbai Space Realty LLP,Marketing,Mumbai,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
Meaww,Human Resources (HR),Bangalore,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Ritika Gupta,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
FellaFeeds,Graphic Design,Gurgaon,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
PrimeValue Marketing Services,Content Writing,Pune,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Eco Life Agritech,Mobile App Development,Work From Home,"['Android', 'iOS', 'Flutter', 'Java', 'Kotlin', 'Firebase']"
Wylo,Data Science,Chennai,"['Python', 'Pandas', 'NumPy', 'Scikit-learn', 'SQL', 'Matplotlib']"
UpTricks Services,Web Development,Pune,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Parivartan Social Foundation,Digital Marketing,Pauri Garhwal,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
